      ra,            dec
      9.90704,       8.96507
      19.0186,       46.7304
      20.2887,       40.4703
      125.886,       21.3377
      136.002,       21.9679
      141.057,       40.6372
      146.700,       22.0116
      148.785,       14.2922
      149.751,       17.8168
      175.039,       15.3270
      191.542,       30.7317
      194.913,       28.8959
      199.026,       41.5011
      206.577,       43.8511
      209.963,       38.1821
      213.556,       15.6214
      219.967,       42.7421
      226.693,       12.8502
      237.489,       20.8057
      241.519,       20.8014
      317.088,       18.2002
      329.235,       6.64845
      333.830,       37.3012
      335.756,       30.9249
      344.396,       19.7827
      348.682,       4.53407
      350.390,       27.1181
      350.438,       9.07761
      357.827,       20.5778
     0.361650,       31.4334
